,assets,income,expenses,irs_form
311,"$244,749 ","$1,037,189 ","$1,036,732 ",https://www.guidestar.org/FinDocuments/2017/810/578/2017-810578549-0f002f61-9.pdf
312,"$13,470 ","$128,714 ","$123,252 ",https://www.guidestar.org/FinDocuments/2017/461/712/2017-461712301-0dd1ec15-9.pdf
313,"$1,535,876 ","$4,299,890 ","$4,141,965 ",https://www.guidestar.org/FinDocuments/2016/391/946/2016-391946697-0ea89cae-9O.pdf
314,"$1,535,877 ","$4,299,891 ","$4,141,966 ",https://www.guidestar.org/FinDocuments/2016/391/946/2016-391946697-0ea89cae-9O.pdf
315,"$2,081 ","$165,893 ","$169,045 ",https://www.guidestar.org/FinDocuments/2016/472/154/2016-472154281-0da006e5-Z.pdf
316,,,,
317,,,,
318,,,,
319,"$31,570 ","$95,031 ","$64,937 ",https://www.guidestar.org/FinDocuments/2016/471/086/2016-471086532-0ea21f47-Z.pdf
320,,,,
321,"$800,835 ","$2,159,873 ","$2,058,319 ",https://www.guidestar.org/FinDocuments/2017/840/808/2017-840808982-0f639616-9.pdf
322,,,,
323,"$324,736 ","$56,832 ","$22,176 ",https://www.guidestar.org/FinDocuments/2010/200/366/2010-200366214-0769beec-Z.pdf
